time	L1	L2	L3	L4
2018-01-26 23:00:00	118	100	93	103
2018-01-26 23:00:00	118	100	93	103
2018-01-26 23:30:00	118	99	92	103
2018-01-26 23:30:00	118	99	92	103
2018-01-26 23:30:00	118	99	92	103
2018-01-26 23:30:00	118	99	92	103
2018-01-27 00:00:00	118	99	92	103
2018-01-27 00:00:00	118	99	92	103
2018-01-27 00:00:00	118	99	92	103
2018-01-27 00:00:00	118	99	92	103
2018-01-27 00:30:00	118	99	92	103
2018-01-27 00:30:00	118	99	92	103
2018-01-27 00:30:00	118	99	92	103
2018-01-27 00:30:00	118	99	92	103
2018-01-27 01:00:00	118	98	92	103
2018-01-27 01:00:00	118	98	92	103
2018-01-27 01:00:00	118	98	92	103
2018-01-27 01:00:00	118	98	92	103
2018-01-27 01:30:00	118	98	92	103
2018-01-27 01:30:00	118	98	92	103
2018-01-27 01:30:00	118	98	92	103
2018-01-27 01:30:00	118	98	92	103
2018-01-27 02:00:00	118	98	91	103
2018-01-27 02:00:00	118	98	91	103
2018-01-27 02:00:00	118	98	91	103
2018-01-27 02:00:00	118	98	91	103
2018-01-27 02:30:00	118	98	91	103
2018-01-27 02:30:00	118	98	91	103
2018-01-27 02:30:00	118	98	91	103
2018-01-27 02:30:00	118	98	91	103
2018-01-27 03:00:00	118	98	91	103
2018-01-27 03:00:00	118	98	91	103
2018-01-27 03:00:00	118	98	91	103
2018-01-27 03:00:00	118	98	91	103
2018-01-27 03:30:00	118	99	91	103
2018-01-27 03:30:00	118	99	91	103
2018-01-27 03:30:00	118	99	91	103
2018-01-27 03:30:00	118	99	91	103
2018-01-27 04:00:00	118	99	91	103
2018-01-27 04:00:00	118	99	91	103
2018-01-27 04:00:00	118	99	91	103
2018-01-27 04:00:00	118	99	91	103
2018-01-27 04:30:00	118	99	91	103
2018-01-27 04:30:00	118	99	91	103
2018-01-27 04:30:00	118	99	91	103
2018-01-27 04:30:00	118	99	91	103
2018-01-27 05:00:00	118	99	91	103
2018-01-27 05:00:00	118	99	91	103
2018-01-27 05:00:00	118	99	91	103
2018-01-27 05:00:00	118	99	91	103
2018-01-27 05:30:00	118	99	91	103
2018-01-27 05:30:00	118	99	91	103
2018-01-27 05:30:00	118	99	91	103
2018-01-27 05:30:00	118	99	91	103
2018-01-27 06:00:00	118	99	91	103
2018-01-27 06:00:00	118	99	91	103
2018-01-27 06:00:00	118	99	91	103
2018-01-27 06:00:00	118	99	91	103
2018-01-27 06:30:00	118	99	91	103
2018-01-27 06:30:00	118	99	91	103
2018-01-27 06:30:00	118	99	91	103
2018-01-27 06:30:00	118	99	91	103
2018-01-27 07:00:00	118	99	91	103
2018-01-27 07:00:00	118	99	91	103
2018-01-27 07:00:00	118	99	91	103
2018-01-27 07:00:00	118	99	91	103
2018-01-27 07:30:00	118	99	91	103
2018-01-27 07:30:00	118	99	91	103
2018-01-27 07:30:00	118	99	91	103
2018-01-27 07:30:00	118	99	91	103
2018-01-27 09:30:00	118	99	91	103
2018-01-27 09:30:00	118	99	91	103
2018-01-27 09:30:00	118	99	91	103
2018-01-27 09:30:00	118	99	91	103
2018-01-27 10:00:00	118	99	90	103
2018-01-27 10:00:00	118	99	90	103
2018-01-27 10:00:00	118	99	90	103
2018-01-27 10:00:00	118	99	90	103
2018-01-27 10:30:00	119	99	90	103
2018-01-27 10:30:00	119	99	90	103
2018-01-27 10:30:00	119	99	90	103
2018-01-27 10:30:00	119	99	90	103
2018-01-27 11:00:00	119	99	90	103
2018-01-27 11:00:00	119	99	90	103
2018-01-27 11:00:00	119	99	90	103
2018-01-27 11:00:00	119	99	90	103
2018-01-27 11:30:00	119	99	90	103
2018-01-27 11:30:00	119	99	90	103
2018-01-27 11:30:00	119	99	90	103
2018-01-27 11:30:00	119	99	90	103
2018-01-27 12:00:00	119	98	90	103
2018-01-27 12:00:00	119	98	90	103
2018-01-27 12:00:00	119	98	90	103
2018-01-27 12:00:00	119	98	90	103
2018-01-27 12:30:00	119	99	90	103
2018-01-27 12:30:00	119	99	90	103
2018-01-27 12:30:00	119	99	90	103
2018-01-27 12:30:00	119	99	90	103
2018-01-27 13:00:00	119	99	90	103
2018-01-27 13:00:00	119	99	90	103
2018-01-27 13:00:00	119	99	90	103
2018-01-27 13:00:00	119	99	90	103
2018-01-27 13:30:00	119	99	90	103
2018-01-27 13:30:00	119	99	90	103
2018-01-27 13:30:00	119	99	90	103
2018-01-27 13:30:00	119	99	90	103
2018-01-27 14:00:00	119	99	90	103
2018-01-27 14:00:00	119	99	90	103
2018-01-27 14:00:00	119	99	90	103
2018-01-27 14:00:00	119	99	90	103
2018-01-27 14:30:00	119	99	90	103
2018-01-27 14:30:00	119	99	90	103
2018-01-27 14:30:00	119	99	90	103
2018-01-27 14:30:00	119	99	90	103
2018-01-27 15:00:00	119	99	90	103
2018-01-27 15:00:00	119	99	90	103
2018-01-27 15:00:00	119	99	90	103
2018-01-27 15:00:00	119	99	90	103
2018-01-27 15:30:00	119	99	90	103
2018-01-27 15:30:00	119	99	90	103
2018-01-27 15:30:00	119	99	90	103
2018-01-27 15:30:00	119	99	90	103
2018-01-27 16:00:00	119	99	90	103
2018-01-27 16:00:00	119	99	90	103
2018-01-27 16:00:00	119	99	90	103
2018-01-27 16:00:00	119	99	90	103
2018-01-27 16:30:00	119	99	90	103
2018-01-27 16:30:00	119	99	90	103
2018-01-27 16:30:00	119	99	90	103
2018-01-27 16:30:00	119	99	90	103
2018-01-27 17:00:00	119	99	90	103
2018-01-27 17:00:00	119	99	90	103
2018-01-27 17:00:00	119	99	90	103
2018-01-27 17:00:00	119	99	90	103
2018-01-27 17:30:00	119	99	90	103
2018-01-27 17:30:00	119	99	90	103
2018-01-27 17:30:00	119	99	90	103
2018-01-27 17:30:00	119	99	90	103
2018-01-27 18:00:00	119	99	90	103
2018-01-27 18:00:00	119	99	90	103
2018-01-27 18:00:00	119	99	90	103
2018-01-27 18:00:00	119	99	90	103
2018-01-27 18:30:00	119	100	90	103
2018-01-27 18:30:00	119	100	90	103
2018-01-27 18:30:00	119	100	90	103
2018-01-27 18:30:00	119	100	90	103
2018-01-27 19:00:00	119	100	90	103
2018-01-27 19:00:00	119	100	90	103
2018-01-27 19:00:00	119	100	90	103
2018-01-27 19:00:00	119	100	90	103
2018-01-27 19:30:00	119	101	90	103
2018-01-27 19:30:00	119	101	90	103
2018-01-27 19:30:00	119	101	90	103
2018-01-27 19:30:00	119	101	90	103
2018-01-27 20:00:00	119	101	90	103
2018-01-27 20:00:00	119	101	90	103
2018-01-27 20:00:00	119	101	90	103
2018-01-27 20:00:00	119	101	90	103
2018-01-27 20:30:00	119	101	90	103
2018-01-27 20:30:00	119	101	90	103
2018-01-27 20:30:00	119	101	90	103
2018-01-27 20:30:00	119	101	90	103
2018-01-27 21:00:00	119	100	90	103
2018-01-27 21:00:00	119	100	90	103
2018-01-27 21:00:00	119	100	90	103
2018-01-27 21:00:00	119	100	90	103
2018-01-27 21:30:00	119	100	90	103
2018-01-27 21:30:00	119	100	90	103
2018-01-27 21:30:00	119	100	90	103
2018-01-27 21:30:00	119	100	90	103
2018-01-27 22:00:00	119	100	89	103
2018-01-27 22:00:00	119	100	89	103
2018-01-27 22:00:00	119	100	89	103
2018-01-27 22:00:00	119	100	89	103
2018-01-27 22:30:00	119	100	89	103
2018-01-27 22:30:00	119	100	89	103
2018-01-27 22:30:00	119	100	89	103
2018-01-27 22:30:00	119	100	89	103
2018-01-27 23:00:00	119	100	89	103
2018-01-27 23:00:00	119	100	89	103
2018-01-27 23:00:00	119	100	89	103
2018-01-27 23:00:00	119	100	89	103
2018-01-27 23:30:00	119	100	89	103
2018-01-27 23:30:00	119	100	89	103
2018-01-27 23:30:00	119	100	89	103
2018-01-27 23:30:00	119	100	89	103
2018-01-28 00:00:00	119	100	88	103
2018-01-28 00:00:00	119	100	88	103
2018-01-28 00:00:00	119	100	88	103
2018-01-28 00:00:00	119	100	88	103
2018-01-28 00:30:00	119	99	87	103
2018-01-28 00:30:00	119	99	87	103
2018-01-28 00:30:00	119	99	87	103
2018-01-28 00:30:00	119	99	87	103
2018-01-28 01:00:00	118	99	87	103
2018-01-28 01:00:00	118	99	87	103
2018-01-28 01:00:00	118	99	87	103
2018-01-28 01:00:00	118	99	87	103
2018-01-28 01:30:00	118	99	87	102
2018-01-28 01:30:00	118	99	87	102
2018-01-28 01:30:00	118	99	87	102
2018-01-28 01:30:00	118	99	87	102
2018-01-28 02:00:00	118	99	87	102
2018-01-28 02:00:00	118	99	87	102
2018-01-28 02:00:00	118	99	87	102
2018-01-28 02:00:00	118	99	87	102
2018-01-28 02:30:00	118	99	87	102
2018-01-28 02:30:00	118	99	87	102
2018-01-28 02:30:00	118	99	87	102
2018-01-28 02:30:00	118	99	87	102
2018-01-28 03:00:00	118	99	87	102
2018-01-28 03:00:00	118	99	87	102
2018-01-28 03:00:00	118	99	87	102
