time	L1	L2	L3	L4	L5	L6
2018-01-26 12:30:00	5	19	2	3	9	4
2018-01-26 12:30:00	5	19	2	3	9	4
2018-01-26 12:30:00	5	19	2	3	9	4
2018-01-26 12:30:00	5	19	2	3	9	4
2018-01-26 12:30:00	5	19	2	3	9	4
2018-01-26 12:30:00	5	19	2	3	9	4
2018-01-26 13:00:00	5	22	2	5	9	9
2018-01-26 13:00:00	5	22	2	5	9	9
2018-01-26 13:00:00	5	22	2	5	9	9
2018-01-26 13:00:00	5	22	2	5	9	9
2018-01-26 13:00:00	5	22	2	5	9	9
2018-01-26 13:00:00	5	22	2	5	9	9
2018-01-26 13:30:00	5	22	2	4	9	9
2018-01-26 13:30:00	5	22	2	4	9	9
2018-01-26 13:30:00	5	22	2	4	9	9
2018-01-26 13:30:00	5	22	2	4	9	9
2018-01-26 13:30:00	5	22	2	4	9	9
2018-01-26 13:30:00	5	22	2	4	9	9
2018-01-26 16:00:00	30	94	10	43	27	47
2018-01-26 16:00:00	30	94	10	43	27	47
2018-01-26 16:00:00	30	94	10	43	27	47
2018-01-26 16:00:00	30	94	10	43	27	47
2018-01-26 16:00:00	30	94	10	43	27	47
2018-01-26 16:00:00	30	94	10	43	27	47
2018-01-26 16:30:00	32	91	10	42	28	48
2018-01-26 16:30:00	32	91	10	42	28	48
2018-01-26 16:30:00	32	91	10	42	28	48
2018-01-26 16:30:00	32	91	10	42	28	48
2018-01-26 16:30:00	32	91	10	42	28	48
2018-01-26 16:30:00	32	91	10	42	28	48
2018-01-26 17:00:00	43	106	14	58	37	60
2018-01-26 17:00:00	43	106	14	58	37	60
2018-01-26 17:00:00	43	106	14	58	37	60
2018-01-26 17:00:00	43	106	14	58	37	60
2018-01-26 17:00:00	43	106	14	58	37	60
2018-01-26 17:00:00	43	106	14	58	37	60
2018-01-26 17:30:00	44	104	15	60	39	62
2018-01-26 17:30:00	44	104	15	60	39	62
2018-01-26 17:30:00	44	104	15	60	39	62
2018-01-26 17:30:00	44	104	15	60	39	62
2018-01-26 17:30:00	44	104	15	60	39	62
2018-01-26 17:30:00	44	104	15	60	39	62
2018-01-26 18:00:00	44	104	15	60	38	63
2018-01-26 18:00:00	44	104	15	60	38	63
2018-01-26 18:00:00	44	104	15	60	38	63
2018-01-26 18:00:00	44	104	15	60	38	63
2018-01-26 18:00:00	44	104	15	60	38	63
2018-01-26 18:00:00	44	104	15	60	38	63
2018-01-26 18:30:00	44	104	15	60	38	63
2018-01-26 18:30:00	44	104	15	60	38	63
2018-01-26 18:30:00	44	104	15	60	38	63
2018-01-26 18:30:00	44	104	15	60	38	63
2018-01-26 18:30:00	44	104	15	60	38	63
2018-01-26 18:30:00	44	104	15	60	38	63
2018-01-26 19:00:00	44	104	15	60	38	62
2018-01-26 19:00:00	44	104	15	60	38	62
2018-01-26 19:00:00	44	104	15	60	38	62
2018-01-26 19:00:00	44	104	15	60	38	62
2018-01-26 19:00:00	44	104	15	60	38	62
2018-01-26 19:00:00	44	104	15	60	38	62
2018-01-26 19:30:00	44	105	15	60	38	62
2018-01-26 19:30:00	44	105	15	60	38	62
2018-01-26 19:30:00	44	105	15	60	38	62
2018-01-26 19:30:00	44	105	15	60	38	62
2018-01-26 19:30:00	44	105	15	60	38	62
2018-01-26 19:30:00	44	105	15	60	38	62
2018-01-26 20:00:00	44	105	15	60	38	62
2018-01-26 20:00:00	44	105	15	60	38	62
2018-01-26 20:00:00	44	105	15	60	38	62
2018-01-26 20:00:00	44	105	15	60	38	62
2018-01-26 20:00:00	44	105	15	60	38	62
2018-01-26 20:00:00	44	105	15	60	38	62
2018-01-26 20:30:00	44	105	15	60	38	62
2018-01-26 20:30:00	44	105	15	60	38	62
2018-01-26 20:30:00	44	105	15	60	38	62
2018-01-26 20:30:00	44	105	15	60	38	62
2018-01-26 20:30:00	44	105	15	60	38	62
2018-01-26 20:30:00	44	105	15	60	38	62
2018-01-26 21:00:00	44	106	15	60	38	62
2018-01-26 21:00:00	44	106	15	60	38	62
2018-01-26 21:00:00	44	106	15	60	38	62
2018-01-26 21:00:00	44	106	15	60	38	62
2018-01-26 21:00:00	44	106	15	60	38	62
2018-01-26 21:00:00	44	106	15	60	38	62
2018-01-26 22:00:00	45	106	15	61	39	61
2018-01-26 22:00:00	45	106	15	61	39	61
2018-01-26 22:00:00	45	106	15	61	39	61
2018-01-26 22:00:00	45	106	15	61	39	61
2018-01-26 22:00:00	45	106	15	61	39	61
2018-01-26 22:00:00	45	106	15	61	39	61
2018-01-26 22:30:00	45	106	15	61	40	61
2018-01-26 22:30:00	45	106	15	61	40	61
2018-01-26 22:30:00	45	106	15	61	40	61
2018-01-26 22:30:00	45	106	15	61	40	61
2018-01-26 22:30:00	45	106	15	61	40	61
2018-01-26 22:30:00	45	106	15	61	40	61
2018-01-26 23:00:00	45	106	15	61	40	61
2018-01-26 23:00:00	45	106	15	61	40	61
2018-01-26 23:00:00	45	106	15	61	40	61
2018-01-26 23:00:00	45	106	15	61	40	61
2018-01-26 23:00:00	45	106	15	61	40	61
2018-01-26 23:00:00	45	106	15	61	40	61
2018-01-26 23:30:00	45	106	15	61	40	61
2018-01-26 23:30:00	45	106	15	61	40	61
2018-01-26 23:30:00	45	106	15	61	40	61
2018-01-26 23:30:00	45	106	15	61	40	61
2018-01-26 23:30:00	45	106	15	61	40	61
2018-01-26 23:30:00	45	106	15	61	40	61
2018-01-27 00:00:00	45	105	15	61	41	60
2018-01-27 00:00:00	45	105	15	61	41	60
2018-01-27 00:00:00	45	105	15	61	41	60
2018-01-27 00:00:00	45	105	15	61	41	60
2018-01-27 00:00:00	45	105	15	61	41	60
2018-01-27 00:00:00	45	105	15	61	41	60
2018-01-27 00:30:00	45	105	14	61	41	60
2018-01-27 00:30:00	45	105	14	61	41	60
2018-01-27 00:30:00	45	105	14	61	41	60
2018-01-27 00:30:00	45	105	14	61	41	60
2018-01-27 00:30:00	45	105	14	61	41	60
2018-01-27 00:30:00	45	105	14	61	41	60
2018-01-27 01:00:00	45	105	15	61	41	60
2018-01-27 01:00:00	45	105	15	61	41	60
2018-01-27 01:00:00	45	105	15	61	41	60
2018-01-27 01:00:00	45	105	15	61	41	60
2018-01-27 01:00:00	45	105	15	61	41	60
2018-01-27 01:00:00	45	105	15	61	41	60
2018-01-27 01:30:00	45	105	15	61	41	60
2018-01-27 01:30:00	45	105	15	61	41	60
2018-01-27 01:30:00	45	105	15	61	41	60
2018-01-27 01:30:00	45	105	15	61	41	60
2018-01-27 01:30:00	45	105	15	61	41	60
2018-01-27 01:30:00	45	105	15	61	41	60
2018-01-27 02:00:00	45	105	15	61	41	60
2018-01-27 02:00:00	45	105	15	61	41	60
2018-01-27 02:00:00	45	105	15	61	41	60
2018-01-27 02:00:00	45	105	15	61	41	60
2018-01-27 02:00:00	45	105	15	61	41	60
2018-01-27 02:00:00	45	105	15	61	41	60
2018-01-27 02:30:00	45	105	15	61	41	60
2018-01-27 02:30:00	45	105	15	61	41	60
2018-01-27 02:30:00	45	105	15	61	41	60
2018-01-27 02:30:00	45	105	15	61	41	60
2018-01-27 02:30:00	45	105	15	61	41	60
2018-01-27 02:30:00	45	105	15	61	41	60
2018-01-27 03:00:00	45	105	15	61	41	60
2018-01-27 03:00:00	45	105	15	61	41	60
2018-01-27 03:00:00	45	105	15	61	41	60
2018-01-27 03:00:00	45	105	15	61	41	60
2018-01-27 03:00:00	45	105	15	61	41	60
